x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,enterprise thread pool - avg user cpu,enterprise thread pool - avg system cpu
1,16.133333333333333,5.166666666666667,17.522222222222222,6.022222222222222
4,65.2,14.255555555555553,69.9222222222222,16.533333333333335
16,131.95555555555558,25.17777777777778,136.73333333333332,28.72222222222222
64,739.2222222222222,75.84444444444445,678.3444444444444,83.26666666666667
256,1215.0094444444444,115.80944444444445,1227.173888888889,106.83277777777776
1024,1169.2083333333335,123.6811111111111,1184.177777777778,121.58722222222221
4096,1101.0333333333333,133.9377777777778,1106.8083333333334,143.40611111111107
16384,1035.8000000000002,133.92833333333337,1044.7355555555557,140.89666666666665
32768,968.8252631578946,128.50263157894736,973.5373684210527,138.78526315789475
