x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,enterprise thread pool - avg user cpu,enterprise thread pool - avg system cpu
1,10.655555555555555,5.211111111111111,12.744444444444444,6.277777777777777
4,33.485,11.698888888888886,40.34444444444444,14.522222222222224
16,50.8111111111111,16.844444444444445,59.84444444444445,20.555555555555554
64,477.19999999999993,129.3222222222222,450.03333333333336,145.6222222222222
256,983.8022222222221,247.10555555555558,1026.6555555555556,214.15555555555554
1024,890.5116666666668,283.47999999999996,1005.7761111111109,228.9527777777778
4096,855.8788888888889,251.7288888888889,911.0327777777778,242.8044444444444
16384,770.6088888888888,244.21777777777783,824.0255555555557,242.55277777777778
32768,711.8185,225.00900000000001,763.6652631578947,225.75210526315786
65536,722.4934999999999,222.138,0.0,0.0
