x,thread pool hybrid,enterprise thread pool
1,1199.071568966226,1096.8371321968964
4,4417.554799025796,4411.034001542192
16,11918.377142400022,12027.027477453956
64,238575.75212153938,194772.22477762448
256,413995.1700534427,410655.28553004155
1024,400813.8795379703,385399.0480567081
4096,343308.1139683716,293829.6370856239
16384,280741.12754229567,244754.2307759479
32768,270489.28010075795,229749.3056212473
65536,526118.5613607243,0.0
