x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,enterprise thread pool - latency 95th % ms,enterprise thread pool - latency average ms
1,1.58,0.83,1.7,0.91
4,2.03,0.9,2.11,0.91
16,5.67,1.34,5.77,1.33
64,0.17,0.27,0.29,0.33
256,0.69,0.62,0.7,0.62
1024,6.32,2.55,3.62,2.65
4096,30.81,11.87,29.19,13.85
16384,114.72,57.15,106.75,65.42
32768,202.69167968750003,118.1187890625,202.69167968750003,139.201953125
65536,211.812880859375,128.6665771484375,0.0,0.0
