x,thread pool hybrid,enterprise thread pool
1,1352.5420301352542,1074.6682251713319
4,4952.450581159564,4773.633059673052
16,13287.421171221218,12596.452439017616
64,56667.614722116065,47400.5797178736
256,62754.36632482392,53768.285423635454
1024,59967.728990031566,48791.27812212403
4096,47885.319544565275,39301.88906189136
16384,52124.52725322727,22443.727698447085
32768,48516.762530092084,0.0
65536,48815.750827982585,0.0
