x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,enterprise thread pool - latency 95th % ms,enterprise thread pool - latency average ms
1,2.57,0.81,2.66,0.8
4,3.02,0.7,2.81,0.63
16,5.67,0.84,5.88,0.84
64,0.34,0.49,0.61,0.56
256,1.39,1.25,1.42,1.27
1024,12.08,5.0,6.91,5.27
4096,51.02,22.47,34.33,24.44
16384,164.45,97.21,130.13,105.56
32768,308.84,208.200654296875,277.21,227.741162109375
65536,351.772353515625,224.357685546875,0.0,0.0
