x,thread pool hybrid,enterprise thread pool
1,1232.7264848528619,1251.3499940000268
4,5671.7514080352175,6377.618819053714
16,19073.97984125432,19116.759198665848
64,129538.80493704259,114314.48557530994
256,204898.61254596149,201636.39211469374
1024,204368.906283299,194077.01298312092
4096,181285.63275093908,166398.1096119794
16384,164810.3070450527,151064.32110352052
32768,154159.3817615101,140475.62080145243
65536,333078.74686969176,0.0
