x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,enterprise thread pool - latency 95th % ms,enterprise thread pool - latency average ms
1,1.3,0.44,1.32,0.48
4,1.23,0.27,1.18,0.29
16,3.96,0.36,3.89,0.37
64,0.15,0.24,0.25,0.29
256,0.69,0.61,0.99,0.63
1024,6.21,2.5,3.62,2.58
4096,29.72,11.67,24.83,13.77
16384,112.67,56.03,89.16,64.69
32768,195.522333984375,113.94548828125,195.522333984375,136.26478515625
65536,208.932578125,129.72845703125,0.0,0.0
