x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,enterprise thread pool - avg user cpu,enterprise thread pool - avg system cpu
1,16.466666666666665,5.122222222222223,17.844444444444445,5.711111111111112
4,60.97777777777779,12.277777777777779,68.12222222222222,14.799999999999999
16,116.55555555555556,20.733333333333334,125.42222222222222,25.000000000000007
64,730.3777777777777,77.34444444444445,673.5555555555557,88.17777777777778
256,1276.822222222222,125.04444444444445,1293.711111111111,111.94333333333333
1024,1246.2388888888886,129.97444444444446,1264.6861111111111,125.0711111111111
4096,1152.0783333333334,144.76000000000002,1156.8377777777778,150.66666666666666
16384,1063.778888888889,146.43944444444446,1071.1133333333335,151.77611111111108
32768,985.9942105263161,138.2531578947368,992.2063157894736,145.19473684210527
65536,993.9935714285714,138.88904761904766,0.0,0.0
