x,thread pool hybrid,enterprise thread pool
1,1611.6957270997011,1229.5184879430321
4,6340.55990364573,6252.063865957045
16,19364.576400932823,18511.611990742847
64,103622.19377948435,93365.235158374
256,156342.11122663892,152282.36334390857
1024,151948.22363535658,144074.8838783789
4096,138441.55413215232,128755.15606178093
16384,130478.67645534598,121108.1765411129
32768,123748.05786934847,114980.79709346335
