x,thread pool hybrid,enterprise thread pool
1,2254.8344229581203,2071.3084134994656
4,14620.633257519614,13836.677007315491
16,44941.18627401964,43363.78413632419
64,268029.37833522767,221138.2551916387
256,422056.7269528008,408403.0139901933
1024,409698.6928743001,395806.895250358
4096,349034.63922726,295632.7612869826
16384,286615.12260093016,247335.74041107326
32768,280828.6332931378,234671.57646905232
65536,530470.4273063645,0.0
