x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,enterprise thread pool - max virtual memory mb,enterprise thread pool - max resident memory mb
1,36791.956,10398.98,37539.208,10931.772
4,36808.348,14330.528,37539.208,14931.528
16,36906.7,18696.592,37539.208,19299.924
64,37275.52,22196.22,37539.208,22928.992
256,38226.256,22369.0,37539.208,23129.392
1024,38234.452,22439.852,37628.48,23177.176
4096,38226.256,22869.56,38631.904,24275.08
16384,38357.328,24228.768,42240.748,28545.56
32768,38557.032,25891.16,47572.64,34403.372
