x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,10.09,6.16,10.09,6.2
4,10.46,5.39,10.46,5.37
16,25.74,10.05,25.74,10.06
64,31.37,6.61,31.37,6.61
256,16.41,10.54,16.71,10.62
1024,110.66,49.2,78.6,47.61
4096,1032.01,209.61,549.52,216.2
16384,3639.94,2939.35,3706.08,3026.61
32768,7615.89,6301.892666015625,8038.61,6669.78353515625
