x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,0.07,0.06,0.08,0.06
4,0.07,0.06,0.08,0.06
16,0.09,0.08,0.1,0.09
64,0.3,0.18,0.34,0.21
256,1.5,0.79,1.64,0.89
1024,10.09,3.61,10.65,4.01
4096,31.37,16.27,40.37,17.29
16384,112.67,67.53,511.33,339.79
32768,219.36,138.38794921875,1032.01,686.366025390625
0,0.0,0.0,0.0,0.0
