x,thread pool hybrid (sysbench crashed at 65536 clients),connection per thread (sysbench crashed at 65536 clients)
1,18099.519557690855,15631.614561284796
4,70228.47625460275,61366.35755761628
16,208199.0693519463,182597.37027481673
64,345651.0411458715,304878.2869738731
256,322408.73909778777,288065.5788690311
1024,283199.0776650011,254578.69117482254
4096,249785.70039598361,235347.2038107358
16384,236714.07941454303,47038.75686271956
32768,229597.5364482853,46483.63831380497
0,0.0,0.0
