x,thread pool hybrid,connection per thread
1,1155.5662221155567,1652.1242518147
4,3868.2448573250754,8359.584718493894
16,5943.052432293101,37839.717344325494
64,15255.324349246204,61339.848041976766
256,26529.72473539083,58898.65639967529
1024,26197.077224815985,53830.2301760796
4096,25627.03736779532,49871.950743176414
16384,23738.33981993455,49319.01118113966
32768,23765.673408736253,45499.95115960775
65536,24204.18970602859,0.0
