x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,1.01,0.71,1.01,0.51
4,1.55,0.68,0.95,0.38
16,6.09,0.97,0.39,0.32
64,1.25,0.81,1.34,0.94
256,4.1,3.27,4.65,4.03
1024,17.01,14.38,17.01,15.97
4096,114.72,69.55,68.05,63.93
16384,657.93,250.36,759.88,298.75
32768,1427.08,500.720595703125,1678.1399999999999,605.47193359375
65536,2778.39,885.414638671875,0.0,0.0
