x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,21.922222222222224,11.788888888888891,15.41111111111111,8.633333333333333
4,89.84444444444445,47.92222222222222,80.1888888888889,36.63333333333334
16,338.8066666666666,161.13722222222225,391.23333333333335,144.0
64,1244.3555555555556,811.0555555555557,1432.0444444444447,707.6777777777778
256,1313.333333333333,807.0555555555555,1224.177777777778,841.8777777777779
1024,1295.6444444444444,853.8,1199.2666666666667,818.6444444444446
4096,1187.5111111111114,925.9000000000002,1229.5888888888887,775.8666666666669
16384,1088.9777777777776,737.7111111111111,1221.8555555555556,626.9555555555555
32768,1067.9052631578948,703.9157894736843,1263.8557894736841,577.5152631578948
65536,1068.9391304347828,690.2173913043478,0.0,0.0
