x,thread pool hybrid,connection per thread
1,507.5465325060888,317.2093488369509
4,2579.9433785327305,1793.0521852750594
16,10195.783667991076,8575.753838495955
64,37766.31344116007,31014.4595848216
256,37148.27866931592,24211.643349537044
1024,33570.33048941183,23645.730771618903
4096,28809.15382750336,24332.86420109572
16384,33063.80202264995,27415.676111432727
32768,32460.54346122085,24765.948966347798
65536,31509.42019422785,0.0
