x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,0.18,0.14,0.19,0.15
4,0.17,0.14,0.18,0.15
16,0.24,0.19,0.25,0.2
64,0.74,0.47,0.8,0.5
256,4.18,2.01,4.49,2.14
1024,19.29,8.59,18.28,9.1
4096,51.94,36.34,46.63,37.3
16384,240.02,148.6,549.52,381.46
32768,467.3,307.77251953125,1129.24,764.424375
0,445.1332666015625,324.021318359375,0.0,0.0
0,0.0,0.0,0.0,0.0
