x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,82.55555555555556,9.033333333333331,84.15555555555554,10.533333333333333
4,322.5555555555556,39.32222222222222,335.72222222222223,40.63333333333334
16,1283.7888888888892,137.74444444444444,1314.8555555555554,149.64444444444445
64,2535.5666666666666,268.0222222222222,2563.155555555555,255.70000000000002
256,2507.6888888888884,283.1555555555556,2542.110555555556,259.0938888888889
1024,2434.011111111112,318.7888888888889,2479.9111111111106,299.1444444444444
4096,2296.133333333333,396.31111111111113,2416.661111111111,327.49666666666667
16384,2211.9666666666667,378.5222222222221,1200.757894736842,222.44210526315788
32768,2107.526315789474,367.778947368421,1206.2736842105262,222.85263157894735
0,2118.481052631579,366.3592105263158,0.0,0.0
0,0.0,0.0,0.0,0.0
