x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,3.49,1.97,5.28,3.15
4,3.62,1.55,5.0,2.23
16,6.55,1.57,7.56,1.86
64,2.66,1.69,3.25,2.06
256,9.91,6.89,12.75,10.57
1024,36.89,30.44,45.79,43.22
4096,176.73,140.9,176.73,167.02
16384,1170.65,484.02,1376.6,583.02
32768,2632.28,985.110751953125,3208.88,1291.07873046875
65536,5067.38900390625,1927.279912109375,0.0,0.0
