x,thread pool hybrid,connection per thread
1,162.44544783880113,161.3892407172855
4,741.6328811687468,744.3245957885568
16,1591.4489311163895,1589.818795898188
64,9684.4886160382,9684.666018608526
256,24274.500267064654,24082.325218816557
1024,20773.43287355863,21467.991549436352
4096,19412.948408478114,18822.204690525712
16384,5455.46749617098,5300.397495294238
32768,5068.7231475770795,4790.3410836438425
