x,thread pool hybrid (sysbench crashed at 65536 clients),connection per thread (sysbench crashed at 65536 clients)
1,17166.853888264817,15432.604113541844
4,67481.62790025843,60827.861147592346
16,203874.44903818483,180523.4895302094
64,345903.4069761628,305567.1818892879
256,327088.18703992304,290649.1103155411
1024,285138.1766650502,257225.92429426053
4096,252711.592130936,235282.5032625643
16384,236522.03806629396,46646.48982707272
32768,227601.4308258191,47144.45159981107
0,0.0,0.0
