x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,0.17,0.13,0.17,0.14
4,0.16,0.13,0.16,0.14
16,0.21,0.17,0.23,0.18
64,0.64,0.42,0.7,0.44
256,3.36,1.76,3.75,1.86
1024,15.55,7.47,14.21,7.95
4096,51.02,31.55,26.68,33.37
16384,196.89,129.49,530.08,362.1
32768,409.096083984375,262.187451171875,1069.86,729.953203125
0,419.2264599609375,281.1448828125,0.0,0.0
0,0.0,0.0,0.0,0.0
