x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45915.036,10434.704,29128.332,4983.548
4,45939.624,16458.384,29262.5,12442.62
16,46013.388,23535.248,30061.316,22830.332
64,46382.208,24247.696,33256.712,23943.42
256,47808.312,24308.88,44399.78,24190.972
1024,52529.48,24367.76,45193.624,24590.028
4096,52531.92,24854.16,48958.884,25993.792
16384,52673.3,26325.244,64674.552,31253.26
32768,52814.196,28122.564,86786.988,38217.04
