x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,0.18,0.13,0.18,0.14
4,0.17,0.13,0.17,0.14
16,0.21,0.17,0.23,0.18
64,0.65,0.42,0.69,0.44
256,3.43,1.75,3.75,1.85
1024,12.98,7.46,13.95,7.94
4096,44.17,31.21,33.12,32.89
16384,200.47,129.85,520.62,360.06
32768,411.96,257.4712890625,1069.86,712.673427734375
65536,438.6178759765625,276.600947265625,0.0,0.0
