x,thread pool hybrid,connection per thread
1,17483.833405184865,15377.531655414865
4,68774.4970589085,60920.193865374225
16,205937.6145810417,180907.52629391855
64,346259.7548618765,307535.55576541694
256,322563.9732565851,289199.78095362923
1024,289683.9971102981,255590.4579491937
4096,252745.79327520693,235970.90703418775
16384,237701.57182913824,217841.73161601502
32768,228985.0601429467,47046.21650978705
