x,thread pool hybrid,connection per thread
1,17889.518146050625,15630.430531419861
4,70267.36458716432,62101.97487572305
16,209863.4916190565,182498.66113788835
64,346260.72976870585,305365.17240919574
256,324605.0962489031,289426.2673834807
1024,284515.6855282124,255407.00119508783
4096,250500.2319826786,235042.75439722431
16384,234134.7311113139,46841.47115807297
32768,227190.9222850171,46381.13142330546
