x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,0.18,0.14,0.19,0.15
4,0.18,0.14,0.18,0.15
16,0.24,0.19,0.25,0.2
64,0.74,0.48,0.77,0.5
256,4.25,2.03,4.49,2.15
1024,19.65,8.6,21.5,9.0
4096,57.87,36.88,55.82,37.19
16384,235.74,150.64,559.5,329.62
32768,481.069541015625,299.664169921875,1129.24,760.1411816406251
65536,499.5905224609375,326.72822265625,0.0,0.0
