x,thread pool hybrid,connection per thread
1,7023.6354505091085,6669.759245514464
4,27627.75178415279,26596.170918670636
16,84110.72889653318,80373.61433480849
64,133268.653035104,127019.28856407358
256,125951.37491169374,119079.69551999414
1024,118860.93408952959,113563.55865442014
4096,110298.5866192888,109452.63888106451
16384,106040.84217878459,48519.49831091349
32768,105770.43426668853,41980.42348265315
65536,205315.36884338074,0.0
