x,thread pool hybrid - latency 95th % ms,thread pool hybrid - latency average ms,connection per thread - latency 95th % ms,connection per thread - latency average ms
1,0.07,0.06,0.08,0.06
4,0.07,0.06,0.08,0.07
16,0.09,0.08,0.11,0.09
64,0.3,0.18,0.33,0.21
256,1.5,0.79,1.67,0.88
1024,9.91,3.53,10.84,4.0
4096,30.81,16.08,41.85,17.25
16384,112.67,67.25,95.81,73.3
32768,215.44,139.02887695312498,1032.01,678.34984375
