x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,63.199999999999996,19.611111111111114,68.98888888888888,20.244444444444447
4,246.4111111111111,80.67777777777775,273.6666666666667,81.33333333333333
16,998.188888888889,293.3444444444444,1088.6000000000004,287.91111111111115
64,1894.6700000000003,522.9622222222222,1988.6888888888889,492.96666666666664
256,1863.3000000000002,555.8555555555555,1986.1444444444444,491.37777777777785
1024,1828.4555555555553,567.9888888888888,1952.9999999999995,503.92222222222216
4096,1675.3,650.2555555555556,1900.1888888888893,534.2111111111111
16384,1604.377777777778,626.2777777777778,797.8315789473684,225.6315789473684
32768,1539.715789473684,600.8842105263159,800.3105263157895,225.81947368421052
