x,thread pool hybrid - avg user cpu,thread pool hybrid - avg system cpu,connection per thread - avg user cpu,connection per thread - avg system cpu
1,71.30000000000001,25.477777777777778,82.17777777777778,21.133333333333336
4,277.3333333333333,101.33333333333331,322.4777777777778,84.35555555555555
16,991.011111111111,379.0555555555555,1186.622222222222,338.6333333333334
64,1495.2222222222224,690.211111111111,1631.4777777777776,564.7333333333332
256,1538.833333333333,681.4666666666667,1522.6666666666667,565.5333333333333
1024,1513.1888888888889,658.5666666666665,1466.2666666666669,569.3333333333333
4096,1498.4555555555555,647.3,1581.9888888888888,528.511111111111
16384,1189.388888888889,523.4000000000001,1489.4526315789474,448.621052631579
32768,1145.0736842105262,503.0631578947368,1705.378947368421,376.17894736842106
65536,1114.2090909090912,491.70000000000016,0.0,0.0
