x,thread pool hybrid - max virtual memory mb,thread pool hybrid - max resident memory mb,connection per thread - max virtual memory mb,connection per thread - max resident memory mb
1,45915.036,23106.828,44411.564,23140.08
4,45939.624,23507.468,44411.564,23578.352
16,46013.388,24019.98,44411.564,24167.408
64,46382.208,24211.468,44411.564,24426.992
256,47808.312,24256.268,44532.308,24491.76
1024,52529.208,24305.676,45324.884,24543.728
4096,52532.572,24632.332,49099.036,25750.288
16384,52541.648,25861.808,64485.996,30428.516
32768,52744.04,27626.412,86636.228,37184.772
