x,thread pool hybrid,connection per thread
1,4041.719629158852,3487.0873513487086
4,15461.575640405994,13331.166702777176
16,47676.040767394086,42480.12852847781
64,70227.7360488201,57811.91501180392
256,66038.99110840155,53210.14209504688
1024,63330.68839065951,52328.51281346495
4096,61696.52558739041,52722.06590424543
16384,54902.47776709205,44595.691771891405
32768,53824.89665468805,34990.59363592848
65536,56958.959249100015,0.0
